gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,description,Regulation
ENSMUSG00000084349,3350.459229,0.616990847,0.390918793,1.578309507,0.114494523,0.564436111,Rpl3-ps1,"ribosomal protein L3, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644217]",Not Significant
ENSMUSG00000029428,429.4014779,0.405319852,0.256855675,1.578006213,0.114564182,0.564538221,Stx2,syntaxin 2 [Source:MGI Symbol;Acc:MGI:108059],Not Significant
ENSMUSG00000019188,1073.082492,0.661682496,0.419378359,1.577769766,0.114618512,0.564538221,H13,histocompatibility 13 [Source:MGI Symbol;Acc:MGI:95886],Not Significant
ENSMUSG00000022021,21.75342197,1.337441842,0.847776296,1.577588154,0.114660256,0.564538221,Diaph3,diaphanous related formin 3 [Source:MGI Symbol;Acc:MGI:1927222],Not Significant
ENSMUSG00000029095,179.0265341,-0.697360329,0.442071244,-1.577484034,0.114684193,0.564538221,Ablim2,actin-binding LIM protein 2 [Source:MGI Symbol;Acc:MGI:2385758],Not Significant
ENSMUSG00000020873,569.8042208,0.329361836,0.208799572,1.57740666,0.114701984,0.564538221,Slc35b1,"solute carrier family 35, member B1 [Source:MGI Symbol;Acc:MGI:1343133]",Not Significant
ENSMUSG00000021040,596.6974791,0.398896569,0.252894132,1.577326316,0.11472046,0.564538221,Slirp,SRA stem-loop interacting RNA binding protein [Source:MGI Symbol;Acc:MGI:1916394],Not Significant
ENSMUSG00000037062,4890.688736,-0.382906036,0.242892247,-1.576444041,0.114923506,0.564734672,Sh3glb1,SH3-domain GRB2-like B1 (endophilin) [Source:MGI Symbol;Acc:MGI:1859730],Not Significant
ENSMUSG00000050107,21.40072978,1.423900946,0.903242256,1.576433051,0.114926036,0.564734672,Haspin,histone H3 associated protein kinase [Source:MGI Symbol;Acc:MGI:1194498],Not Significant
ENSMUSG00000018012,20.63572341,0.908321395,0.576263986,1.576224467,0.114974082,0.564734672,Rac3,Rac family small GTPase 3 [Source:MGI Symbol;Acc:MGI:2180784],Not Significant
ENSMUSG00000038022,116.8745576,-0.525400775,0.333329171,-1.576222009,0.114974648,0.564734672,Mindy4,MINDY lysine 48 deubiquitinase 4 [Source:MGI Symbol;Acc:MGI:3583959],Not Significant
ENSMUSG00000057440,110.1897905,-0.4635869,0.294149792,-1.576023212,0.115020454,0.564734672,Mpp7,"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) [Source:MGI Symbol;Acc:MGI:1922989]",Not Significant
ENSMUSG00000120847,7.749296038,-1.161233372,0.736818663,-1.576009716,0.115023564,0.564734672,-,"novel transcript, antisense to KO:Ankrd24and Ankrd24",Not Significant
ENSMUSG00000080877,135.5054071,0.425426901,0.269940062,1.576005048,0.11502464,0.564734672,Rpl22-ps1,"ribosomal protein L22, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644276]",Not Significant
