Gene_ID,Gene_symbol,Description,T1,T2,T3,C1,C2,C3,FC,log2FC,pValue,FDR,significance
841,CASP8,caspase 8,0.2687,0.5784,0.00012,1.0847,0.9401,0.638,0.318168845,-1.652135521,0.049611248,0.938881762,Down
1282,COL4A1,collagen type IV alpha 1 chain,0.00012,0.00012,0.00012,0.0268,0.0322,0.0248,0.004295943,-7.862809527,0.006254887,0.938881762,Down
2149,F2R,coagulation factor II thrombin receptor,0.2077,0.2358,0.2535,0.6038,0.8467,0.7881,0.311355311,-1.683366205,0.017116746,0.938881762,Down
2339,FNTA,"farnesyltransferase, CAAX box, alpha",1.6251,0.7852,2.6893,3.1827,4.7901,4.2453,0.417380771,-1.260563958,0.031833934,0.938881762,Down
3001,GZMA,granzyme A,0.00012,0.00012,0.00012,7.0874,8.4359,5.8184,1.69E-05,-15.85531867,0.01109808,0.938881762,Down
3832,KIF11,kinesin family member 11,0.1175,0.00012,0.1898,0.59,0.4641,0.3911,0.212717963,-2.232986228,0.009159409,0.938881762,Down
4013,VWA5A,von Willebrand factor A domain containing 5A,0.00012,0.00012,0.00012,1.438,1.7379,1.6121,7.52E-05,-13.69913863,0.002955164,0.938881762,Down
6341,SCO1,synthesis of cytochrome C oxidase 1,1.71,0.9191,0.6727,3.0719,4.4389,6.1378,0.241914922,-2.047428335,0.047563969,0.938881762,Down
8997,KALRN,kalirin RhoGEF kinase,0.00012,0.0358,0.0975,0.1474,0.1202,0.1844,0.295176991,-1.760347826,0.043333329,0.938881762,Down
10025,MED16,mediator complex subunit 16,0.00012,0.00012,0.00012,0.2163,0.2131,0.2756,0.000510638,-10.93541064,0.007402108,0.938881762,Down
10614,HEXIM1,HEXIM P-TEFb complex subunit 1,0.00012,0.6569,0.00012,1.4359,2.3531,1.4447,0.125559356,-2.993558564,0.018457489,0.938881762,Down
11128,POLR3A,RNA polymerase III subunit A,0.8352,0.7245,0.2793,1.3269,1.146,1.7859,0.431811778,-1.2115255,0.034781716,0.938881762,Down
11163,NUDT4,nudix hydrolase 4,1.2385,0.9797,2.5756,3.7904,4.4219,2.785,0.435906995,-1.197907739,0.039589061,0.938881762,Down
11325,DDX42,DEAD-box helicase 42,3.4604,8.4767,8.3815,11.2573,20.4232,18.9167,0.401575581,-1.316256549,0.049615085,0.938881762,Down
23197,FAF2,Fas associated factor family member 2,1.9578,1.2751,2.3442,6.0753,4.7221,3.6247,0.386705126,-1.370694206,0.037064129,0.938881762,Down
51002,TPRKB,TP53RK binding protein,2.324,3.1751,4.2559,8.5003,5.9829,6.7828,0.458713439,-1.124334919,0.016876648,0.938881762,Down
51593,SRRT,"serrate, RNA effector molecule",1.8042,1.6377,1.3385,3.5546,3.6983,3.9609,0.426296171,-1.230071999,0.000320649,0.58029477,Down
54557,SGTB,small glutamine rich tetratricopeptide repeat co-chaperone beta,0.4976,0.3993,0.344,3.6657,4.5038,3.6485,0.105000846,-3.251527141,0.005394789,0.938881762,Down
54751,FBLIM1,filamin binding LIM protein 1,6.4253,3.7726,6.3167,18.9107,16.437,17.4575,0.312745714,-1.67693798,0.000507615,0.734925031,Down
55156,ARMC1,armadillo repeat containing 1,0.549,0.4583,0.5078,1.0711,1.4113,1.2296,0.408162716,-1.292783693,0.012940066,0.938881762,Down
56674,TMEM9B,TMEM9 domain family member B,0.705,0.712,1.1243,1.36,2.0644,1.7931,0.487072353,-1.037792,0.028266856,0.938881762,Down
57019,CIAPIN1,cytokine induced apoptosis inhibitor 1,7.6564,6.3676,8.8423,15.6131,17.1882,18.7582,0.44349344,-1.173015331,0.001461576,0.938881762,Down
57180,ACTR3B,actin related protein 3B,2.2819,1.3771,0.00012,5.4763,3.3153,5.7232,0.252095792,-1.987956059,0.024074422,0.938881762,Down
81610,FAM83D,family with sequence similarity 83 member D,0.222,0.0473,0.1288,4.7031,7.3571,5.507,0.022661551,-5.46360958,0.017998528,0.938881762,Down
81855,SFXN3,sideroflexin 3,4.2158,4.2767,8.8268,11.891,15.7242,16.4799,0.392771532,-1.348237726,0.012996375,0.938881762,Down
84301,DDI2,DNA damage inducible 1 homolog 2,0.00012,0.00012,0.1953,0.421,0.4749,0.485,0.141603302,-2.820073185,0.018892624,0.938881762,Down
91942,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,16.3921,7.709,3.3315,30.5216,29.7253,21.0727,0.337343027,-1.567711755,0.023352585,0.938881762,Down
92399,MRRF,mitochondrial ribosome recycling factor,1.3424,1.1311,1.3085,4.0464,2.9186,3.8049,0.351163892,-1.509783586,0.018082031,0.938881762,Down
117177,RAB3IP,RAB3A interacting protein,0.00012,0.00012,0.1271,3.6136,3.476,3.665,0.011840515,-6.400124387,2.16E-06,0.015601753,Down
123263,MTFMT,mitochondrial methionyl-tRNA formyltransferase,0.00012,0.0477,0.00012,0.063,0.0741,0.0902,0.210910691,-2.24529587,0.04472674,0.938881762,Down
140885,SIRPA,signal regulatory protein alpha,0.00012,0.1111,0.00012,0.5157,0.7212,0.651,0.058975581,-4.083738455,0.00242316,0.938881762,Down
347734,SLC35B2,solute carrier family 35 member B2,1.5658,1.3066,1.6317,2.6976,3.0534,3.4297,0.490605292,-1.0273653,0.008113662,0.938881762,Down
439996,IFIT1B,interferon induced protein with tetratricopeptide repeats 1B,0.0639,0.0545,0.00012,0.1408,0.1045,0.145,0.303663848,-1.719452931,0.024823018,0.938881762,Down
9,NAT1,N-acetyltransferase 1,1.1942,0.8155,0.6425,1.7246,4.1367,0.8532,0.394995904,-1.3400904,0.300818842,0.938881762,Stable
14,AAMP,angio associated migratory cell protein,1.1621,3.5469,0.106,0.2378,1.9144,0.1539,2.087940679,1.062080724,0.523399301,0.944947771,Stable
16,AARS1,alanyl-tRNA synthetase 1,19.5734,16.4164,13.7485,13.9037,15.8118,14.1806,1.13309155,0.180264431,0.369546621,0.938881762,Stable
22,ABCB7,ATP binding cassette subfamily B member 7,0.3008,0.435,0.4755,0.2458,0.4978,0.5062,0.969195071,-0.045141027,0.905647464,0.998814086,Stable
23,ABCF1,ATP binding cassette subfamily F member 1,5.6575,8.5079,13.5214,8.6603,13.7346,7.2344,0.934439896,-0.097826224,0.841406165,0.998814086,Stable
29,ABR,ABR activator of RhoGEF and GTPase,2.1293,0.1351,1.9215,0.2783,1.0001,1.7893,1.364507612,0.448380442,0.656158471,0.968434639,Stable
30,ACAA1,acetyl-CoA acyltransferase 1,3.3704,3.5048,1.8133,3.3054,1.736,1.8042,1.269209419,0.343930133,0.456818107,0.938881762,Stable
31,ACACA,acetyl-CoA carboxylase alpha,3.2707,3.1785,2.6408,1.3076,1.9901,1.7507,1.800570478,0.84845407,0.008611399,0.938881762,Stable
32,ACACB,acetyl-CoA carboxylase beta,0.4189,0.4184,0.3644,0.322,0.4229,0.3992,1.05034525,0.070863621,0.622758379,0.962753944,Stable
34,ACADM,acyl-CoA dehydrogenase medium chain,10.1251,10.0145,8.9958,8.3453,7.4931,10.3316,1.113312954,0.154859193,0.366533303,0.938881762,Stable
37,ACADVL,acyl-CoA dehydrogenase very long chain,18.7324,11.0345,12.0766,13.221,12.9024,13.7742,1.048772357,0.068701566,0.813639707,0.995095472,Stable
38,ACAT1,acetyl-CoA acetyltransferase 1,9.7971,11.7551,25.3398,9.6329,16.989,12.2516,1.206271625,0.270554806,0.65403926,0.968434639,Stable
39,ACAT2,acetyl-CoA acetyltransferase 2,17.2103,11.4385,12.548,7.4029,9.6069,10.4601,1.499706952,0.584680621,0.105200168,0.938881762,Stable
47,ACLY,ATP citrate lyase,34.645,57.9639,65.3734,58.4778,38.7453,54.56,1.040842492,0.057751765,0.862155964,0.998814086,Stable
48,ACO1,aconitase 1,10.6536,7.9903,5.9889,6.4588,2.6461,15.3877,1.005724178,0.008234697,0.991566237,0.998814086,Stable
50,ACO2,aconitase 2,15.5501,13.3345,16.6496,16.3301,14.3277,16.857,0.958316146,-0.06142642,0.624753462,0.962753944,Stable
51,ACOX1,acyl-CoA oxidase 1,4.4702,0.2667,5.0237,0.1747,3.9511,2.7619,1.417105855,0.502947529,0.637763816,0.968434639,Stable
52,ACP1,acid phosphatase 1,13.5079,21.1634,24.8871,22.1925,24.4025,22.8216,0.857984978,-0.220975707,0.431007881,0.938881762,Stable
53,ACP2,"acid phosphatase 2, lysosomal",5.3426,4.6839,4.046,4.2043,4.9727,3.058,1.150183899,0.201864547,0.419436902,0.938881762,Stable
58,ACTA1,"actin alpha 1, skeletal muscle",439.6572,497.5359,498.018,596.2974,541.9259,508.0868,0.871774461,-0.197973155,0.099179834,0.938881762,Stable
59,ACTA2,"actin alpha 2, smooth muscle",432.2839,490.133,490.8228,587.6781,530.4998,500.1955,0.87324699,-0.19553833,0.105729754,0.938881762,Stable
60,ACTB,actin beta,744.2838,738.6388,999.2373,994.4372,848.8982,931.9311,0.894386143,-0.161030259,0.384637432,0.938881762,Stable
70,ACTC1,actin alpha cardiac muscle 1,439.6572,497.5359,500.6182,596.2974,542.0681,508.0868,0.873278442,-0.195486368,0.103126511,0.938881762,Stable
71,ACTG1,actin gamma 1,743.6984,738.2629,998.8964,994.4372,848.3568,931.3871,0.894266672,-0.161222985,0.384673977,0.938881762,Stable
72,ACTG2,"actin gamma 2, smooth muscle",452.4786,512.4891,512.6887,609.4612,555.5734,523.6144,0.875052424,-0.192558645,0.096706591,0.938881762,Stable
81,ACTN4,actinin alpha 4,79.5838,70.1716,71.4335,72.0895,68.7839,66.0958,1.068704426,0.095862898,0.25376498,0.938881762,Stable
86,ACTL6A,actin like 6A,9.2243,7.0029,9.3327,8.4314,11.637,10.7027,0.830646288,-0.267693826,0.230168309,0.938881762,Stable
87,ACTN1,actinin alpha 1,97.2606,95.0026,73.355,103.6648,74.6846,92.3729,0.981146363,-0.027459728,0.88832648,0.998814086,Stable
88,ACTN2,actinin alpha 2,16.223,10.8647,14.1492,19.3046,11.9105,12.4567,0.944245486,-0.082766114,0.791688981,0.993677442,Stable
89,ACTN3,actinin alpha 3,14.3961,8.7309,12.6226,14.7004,8.7257,10.9164,1.040972556,0.057932034,0.855635677,0.998814086,Stable
94,ACVRL1,activin A receptor like type 1,2.2667,0.00012,3.0054,0.183,3.1217,0.2429,1.486137107,0.571567221,0.687050403,0.973255698,Stable
97,ACYP1,acylphosphatase 1,3.7374,1.1582,5.9592,0.962,4.9609,2.1058,1.351999701,0.435094833,0.633929342,0.967330209,Stable
98,ACYP2,acylphosphatase 2,1.2712,0.00012,1.3838,1.4964,1.4977,2.3626,0.495663375,-1.012567435,0.175685987,0.938881762,Stable
100,ADA,adenosine deaminase,3.8851,0.4921,0.7458,0.5713,0.491,1.0024,2.48123214,1.311056718,0.449395288,0.938881762,Stable
102,ADAM10,ADAM metallopeptidase domain 10,1.4233,1.6686,1.9142,0.1904,2.68,1.894,1.050730417,0.071392569,0.923482485,0.998814086,Stable
103,ADAR,adenosine deaminase RNA specific,4.5298,4.5202,16.7776,7.9908,15.5285,17.145,0.635141881,-0.65484919,0.381980682,0.938881762,Stable
118,ADD1,adducin 1,7.0631,4.6939,5.2706,3.1051,4.4048,5.2137,1.338269043,0.420368182,0.203688916,0.938881762,Stable
128,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",29.9846,56.288,68.836,23.38,47.0756,59.2341,1.195997832,0.258214774,0.615024439,0.962753944,Stable
132,ADK,adenosine kinase,19.9588,13.9577,12.9582,6.5805,10.4667,16.2829,1.406377419,0.491983811,0.278296145,0.938881762,Stable
142,PARP1,poly(ADP-ribose) polymerase 1,16.4438,14.6469,14.2234,16.1428,14.2913,15.0473,0.996321573,-0.005316633,0.951971423,0.998814086,Stable
143,PARP4,poly(ADP-ribose) polymerase family member 4,7.7899,5.3996,8.3117,4.4036,6.7537,4.4854,1.374519744,0.45892763,0.175418725,0.938881762,Stable
156,GRK2,G protein-coupled receptor kinase 2,0.6753,0.3827,3.9812,3.0913,5.5045,0.4871,0.554800779,-0.84995828,0.508954094,0.941010769,Stable
157,GRK3,G protein-coupled receptor kinase 3,0.00012,0.2071,0.2953,0.0951,0.2992,0.2673,0.7595526,-0.396778219,0.651597382,0.968434639,Stable
158,ADSL,adenylosuccinate lyase,9.0076,6.7981,6.7788,6.2587,7.5931,9.3666,0.972698377,-0.039935584,0.865221457,0.998814086,Stable
159,ADSS2,adenylosuccinate synthase 2,12.5516,10.0917,8.8543,9.7234,12.2856,10.8271,0.959236937,-0.060040881,0.753724424,0.987178373,Stable
160,AP2A1,adaptor related protein complex 2 subunit alpha 1,14.8856,10.9947,10.7916,14.3972,14.2652,11.4724,0.913718269,-0.130178693,0.523706627,0.944947771,Stable
161,AP2A2,adaptor related protein complex 2 subunit alpha 2,7.389,6.0563,6.4999,6.2696,6.646,6.3422,1.035694628,0.05059869,0.623840157,0.962753944,Stable
162,AP1B1,adaptor related protein complex 1 subunit beta 1,22.4371,19.5539,14.2321,16.9952,22.7116,23.5855,0.888308688,-0.170866993,0.499373825,0.941010769,Stable
163,AP2B1,adaptor related protein complex 2 subunit beta 1,24.1595,20.9172,17.3172,26.6135,27.4439,23.9518,0.799827456,-0.322239288,0.101187104,0.938881762,Stable
164,AP1G1,adaptor related protein complex 1 subunit gamma 1,8.8567,8.1392,8.4018,8.1189,12.0718,9.4615,0.856519921,-0.223441294,0.345739309,0.938881762,Stable
178,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",3.2786,1.456,2.6661,2.2893,1.9667,1.6058,1.262530281,0.33631799,0.445862263,0.938881762,Stable
191,AHCY,adenosylhomocysteinase,82.4606,108.8532,102.6784,107.7328,89.6691,80.9211,1.056298617,0.079017744,0.665724578,0.970942839,Stable
202,CRYBG1,crystallin beta-gamma domain containing 1,0.1339,0.157,0.4007,0.0518,0.1381,1.269,0.474055795,-1.076871223,0.584162061,0.955878729,Stable
203,AK1,adenylate kinase 1,44.186,27.7144,25.5349,48.696,26.8927,24.422,0.974248755,-0.037637912,0.934031842,0.998814086,Stable
204,AK2,adenylate kinase 2,31.8811,27.1775,34.0235,51.7541,39.6107,46.6054,0.674653657,-0.56778103,0.031168826,0.938881762,Stable
205,AK4,adenylate kinase 4,2.7016,3.8315,2.8195,4.2554,3.099,2.8525,0.916301717,-0.126105371,0.639757977,0.968434639,Stable
207,AKT1,AKT serine/threonine kinase 1,1.466,1.1377,3.7042,0.7934,0.7402,1.0599,2.432195874,1.282259419,0.263467234,0.938881762,Stable
208,AKT2,AKT serine/threonine kinase 2,1.34,1.0979,3.3296,0.6087,0.6497,0.9093,2.66065415,1.411780991,0.230264103,0.938881762,Stable
210,ALAD,aminolevulinate dehydratase,4.0577,1.8887,4.4923,3.6424,2.1952,3.3097,1.141178271,0.190524182,0.669775905,0.972488233,Stable
213,ALB,albumin,0.4607,1.2996,1.6283,0.7148,2.7282,1.3559,0.706120153,-0.502014403,0.540349284,0.946044847,Stable
214,ALCAM,activated leukocyte cell adhesion molecule,9.9193,18.8064,19.5048,13.1238,15.1238,11.4412,1.215216887,0.281213824,0.459493922,0.938881762,Stable
216,ALDH1A1,aldehyde dehydrogenase 1 family member A1,5.2538,0.2132,18.0211,6.0545,21.6114,20.3189,0.489490422,-1.030647465,0.324729128,0.938881762,Stable
217,ALDH2,aldehyde dehydrogenase 2 family member,9.1404,7.9008,9.2935,7.9765,9.5521,10.0823,0.953779123,-0.06827289,0.613751516,0.962753944,Stable
219,ALDH1B1,aldehyde dehydrogenase 1 family member B1,2.044,1.6917,2.1232,2.6499,2.6897,1.2066,0.895007791,-0.160027854,0.689751869,0.973255698,Stable
220,ALDH1A3,aldehyde dehydrogenase 1 family member A3,0.8266,0.258,0.799,0.6536,1.4206,0.2162,0.822389102,-0.282106948,0.755423482,0.987808993,Stable
223,ALDH9A1,aldehyde dehydrogenase 9 family member A1,6.8947,9.6218,3.2652,9.5695,8.0009,7.5293,0.788124958,-0.343503707,0.442195791,0.938881762,Stable
224,ALDH3A2,aldehyde dehydrogenase 3 family member A2,0.5823,2.3999,2.5643,0.6501,2.0497,1.5754,1.297366205,0.375585764,0.609906523,0.960883428,Stable
226,ALDOA,"aldolase, fructose-bisphosphate A",263.6492,240.8595,239.6849,230.8545,285.9893,258.0295,0.960406817,-0.05828245,0.605588792,0.960883428,Stable
230,ALDOC,"aldolase, fructose-bisphosphate C",5.5317,5.2166,6.335,4.175,10.9027,6.4668,0.79293091,-0.334732928,0.53147328,0.945940853,Stable
231,AKR1B1,aldo-keto reductase family 1 member B,44.9776,50.3415,27.2511,56.3212,49.559,49.1736,0.790501103,-0.339160618,0.256953989,0.938881762,Stable
267,AMFR,autocrine motility factor receptor,0.5326,0.4933,1.0449,0.2091,0.4409,0.5039,1.794609585,0.843670022,0.223486294,0.938881762,Stable
271,AMPD2,adenosine monophosphate deaminase 2,3.4394,1.045,2.608,2.8675,3.7389,1.8823,0.835510738,-0.259269725,0.627931506,0.96448041,Stable
274,BIN1,bridging integrator 1,2.7968,2.7548,3.527,2.3364,2.6649,2.5812,1.197309594,0.259796246,0.17503744,0.938881762,Stable
287,ANK2,ankyrin 2,0.4016,0.3819,0.1924,0.3461,0.1624,0.4185,1.052750809,0.074163984,0.880072666,0.998814086,Stable
290,ANPEP,"alanyl aminopeptidase, membrane",90.5842,81.2662,69.4193,79.9933,59.0772,60.5807,1.208456047,0.273165002,0.202836495,0.938881762,Stable
291,SLC25A4,solute carrier family 25 member 4,33.2134,20.2945,31.6569,27.1075,34.9725,43.0829,0.809836929,-0.304296662,0.340384892,0.938881762,Stable
292,SLC25A5,solute carrier family 25 member 5,80.7588,42.9223,72.5602,70.4785,74.4657,65.8159,0.931112198,-0.102973073,0.717536269,0.978748126,Stable
293,SLC25A6,solute carrier family 25 member 6,70.7304,40.9653,57.9123,74.4185,63.9234,72.2721,0.805302591,-0.312397119,0.249389331,0.938881762,Stable
301,ANXA1,annexin A1,219.3978,231.2075,210.5757,193.1804,172.5066,170.3409,1.233482436,0.302737173,0.012422397,0.938881762,Stable
302,ANXA2,annexin A2,1264.6507,1115.1298,1042.5702,1244.2532,1231.3186,1108.4861,0.954881532,-0.066606339,0.534905426,0.945940853,Stable
306,ANXA3,annexin A3,101.1918,95.8327,99.1958,137.5747,92.5504,97.1958,0.904984375,-0.144035212,0.544365176,0.946591282,Stable
307,ANXA4,annexin A4,47.086,17.5045,35.2968,29.8631,39.5233,32.2934,0.98237113,-0.025659932,0.952492207,0.998814086,Stable
308,ANXA5,annexin A5,550.617,657.904,616.415,586.2796,592.4161,500.9575,1.086495712,0.119682481,0.323006143,0.938881762,Stable
309,ANXA6,annexin A6,54.4123,61.4041,54.6766,53.9615,49.5158,44.9685,1.148520201,0.199776232,0.101999868,0.938881762,Stable
310,ANXA7,annexin A7,18.9636,13.2338,14.1983,20.6095,17.0631,13.6009,0.904867037,-0.14422228,0.578565909,0.955035968,Stable
311,ANXA11,annexin A11,17.4637,17.9366,26.2655,12.424,15.2916,25.2295,1.164712126,0.219973418,0.581590679,0.955762752,Stable
317,APAF1,apoptotic peptidase activating factor 1,1.1617,1.051,4.1654,0.2359,2.6831,0.7669,1.730405057,0.791109787,0.519803881,0.943198726,Stable
318,NUDT2,nudix hydrolase 2,11.6371,1.8994,9.6442,2.1494,5.6793,6.1247,1.661294022,0.732307429,0.417752898,0.938881762,Stable
327,APEH,acylaminoacyl-peptide hydrolase,3.5046,4.3712,6.4968,8.8599,6.4689,6.5174,0.657899314,-0.604061286,0.105104209,0.938881762,Stable
328,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1,19.4671,22.314,14.4818,27.3837,18.6748,11.362,0.979839953,-0.029381977,0.945273368,0.998814086,Stable
334,APLP2,amyloid beta precursor like protein 2,2.0978,1.5247,1.9526,1.6863,1.2533,1.4727,1.263536024,0.337466797,0.14921034,0.938881762,Stable
351,APP,amyloid beta precursor protein,1.56,2.8203,5.2586,4.3887,4.7496,4.2083,0.722198912,-0.469531848,0.372852176,0.938881762,Stable
353,APRT,adenine phosphoribosyltransferase,18.4884,22.9784,4.1959,5.2125,28.0157,32.3226,0.696600194,-0.52159722,0.553640747,0.948764177,Stable
357,SHROOM2,shroom family member 2,0.106,0.1025,0.074,0.068,0.0377,0.0439,1.888368984,0.917140692,0.032363571,0.938881762,Stable
369,ARAF,"A-Raf proto-oncogene, serine/threonine kinase",0.7424,0.7568,0.2811,0.1244,0.5786,0.8072,1.178850483,0.237380749,0.742201418,0.982873183,Stable
372,ARCN1,archain 1,26.6929,26.9061,16.894,21.4756,18.5155,23.1135,1.117081798,0.15973483,0.545449257,0.94696283,Stable
375,ARF1,ADP ribosylation factor 1,52.0409,48.6711,29.1906,54.4062,42.5362,17.6739,1.133369338,0.180618077,0.717114001,0.978748126,Stable
377,ARF3,ADP ribosylation factor 3,51.8029,48.4509,28.8721,54.1897,42.1274,17.2547,1.136953892,0.185173748,0.713700936,0.978748126,Stable
378,ARF4,ADP ribosylation factor 4,93.0881,80.382,85.4731,103.1736,90.6418,99.2851,0.883462157,-0.178759756,0.095032541,0.938881762,Stable
381,ARF5,ADP ribosylation factor 5,39.4039,34.1001,12.4123,37.9493,34.8748,21.942,0.906614285,-0.141439202,0.777321375,0.992752862,Stable
382,ARF6,ADP ribosylation factor 6,25.8683,15.8009,16.216,15.6677,12.9147,15.0767,1.325845013,0.406912139,0.283783288,0.938881762,Stable
384,ARG2,arginase 2,1.4186,0.1441,0.1812,0.1827,0.1626,1.2056,1.124443871,0.169211648,0.911471819,0.998814086,Stable
387,RHOA,ras homolog family member A,123.5933,140.3206,129.3485,155.8197,139.4378,121.6679,0.943244043,-0.084297011,0.526714493,0.945940853,Stable
388,RHOB,ras homolog family member B,11.7913,19.6962,19.5529,19.8988,23.0822,4.4243,1.076681299,0.106591271,0.861202398,0.998814086,Stable
389,RHOC,ras homolog family member C,94.2739,107.2744,130.1037,130.8647,127.0891,115.5755,0.88788751,-0.171551188,0.316717902,0.938881762,Stable
391,RHOG,ras homolog family member G,6.488,3.4102,2.5284,5.7801,7.702,4.7141,0.682922808,-0.550205577,0.270974535,0.938881762,Stable
392,ARHGAP1,Rho GTPase activating protein 1,5.4122,5.5368,6.0251,6.3547,6.7913,10.0514,0.731724245,-0.450628033,0.214963849,0.938881762,Stable
396,ARHGDIA,Rho GDP dissociation inhibitor alpha,77.4757,121.0541,115.3904,69.7179,107.0824,108.7222,1.099458712,0.136793427,0.639325873,0.968434639,Stable
397,ARHGDIB,Rho GDP dissociation inhibitor beta,80.7863,99.9357,70.5239,97.6846,58.1575,58.9983,1.169453697,0.225834741,0.487012896,0.938881762,Stable
400,ARL1,ADP ribosylation factor like GTPase 1,20.0568,18.5118,14.1354,19.1268,9.2884,19.3785,1.102739482,0.141092001,0.692711567,0.973255698,Stable
402,ARL2,ADP ribosylation factor like GTPase 2,3.3485,3.5894,8.1786,2.9059,8.2967,12.777,0.630389998,-0.66568345,0.429144326,0.938881762,Stable
403,ARL3,ADP ribosylation factor like GTPase 3,22.3147,11.8119,23.5122,10.2833,28.6556,14.3459,1.081711858,0.113316251,0.840526067,0.998719185,Stable
408,ARRB1,arrestin beta 1,1.9762,3.4414,7.3481,4.3511,4.5252,9.1637,0.707633038,-0.498926689,0.47791185,0.938881762,Stable
410,ARSA,arylsulfatase A,2.4161,0.00012,2.1944,0.1995,1.649,2.6106,1.033979951,0.048208212,0.963681289,0.998814086,Stable
411,ARSB,arylsulfatase B,2.7083,2.73,2.2012,1.4423,1.8437,1.4751,1.604566172,0.682183287,0.01338839,0.938881762,Stable
421,ARVCF,ARVCF delta catenin family member,0.4037,0.0811,0.2915,0.1829,0.6469,0.8367,0.465826583,-1.102135125,0.2661108,0.938881762,Stable
435,ASL,argininosuccinate lyase,2.7935,1.3724,3.1278,0.4976,1.4091,1.1393,2.3945174,1.259734919,0.101711183,0.938881762,Stable
439,GET3,"guided entry of tail-anchored proteins factor 3, ATPase",18.4575,16.7494,8.7615,17.6599,19.688,22.5292,0.73431078,-0.445537316,0.211647496,0.938881762,Stable
440,ASNS,asparagine synthetase (glutamine-hydrolyzing),6.8882,11.3666,3.7594,2.5587,1.2211,4.8858,2.540412666,1.345062868,0.170825201,0.938881762,Stable
444,ASPH,aspartate beta-hydroxylase,6.8279,5.6677,7.9123,4.9074,6.9289,6.3043,1.124984841,0.169905561,0.439891337,0.938881762,Stable
462,SERPINC1,serpin family C member 1,0.2238,0.00012,0.00012,0.0533,0.00012,0.0892,1.570887674,0.651580024,0.758018028,0.988661054,Stable
471,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,12.3742,9.9483,14.4529,12.3399,13.1416,11.8563,0.984937516,-0.021895891,0.90098496,0.998814086,Stable
472,ATM,ATM serine/threonine kinase,0.341,0.2918,0.5295,0.1241,0.509,0.3066,1.236884112,0.306710335,0.61038138,0.961250483,Stable
475,ATOX1,antioxidant 1 copper chaperone,31.9122,22.7027,12.5939,34.6394,17.9954,13.3037,1.019264921,0.027529077,0.962905161,0.998814086,Stable
476,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,14.5301,14.2178,13.8278,14.0714,10.1315,14.2751,1.10649462,0.145996437,0.418103362,0.938881762,Stable
477,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,1.3512,1.661,1.6032,1.5135,1.6366,1.8005,0.932291035,-0.1011477,0.427201075,0.938881762,Stable
478,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,2.3183,2.6377,2.744,2.6371,2.6725,3.0262,0.923726577,-0.114462218,0.300401388,0.938881762,Stable
479,ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit,1.2351,1.2084,0.9572,1.3596,0.7444,1.0573,1.07572834,0.105313791,0.715063384,0.978748126,Stable
480,ATP1A4,ATPase Na+/K+ transporting subunit alpha 4,1.3777,1.6894,1.6346,1.4663,1.6077,1.7178,0.981197045,-0.027385206,0.816357559,0.995095472,Stable
481,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,8.5353,11.7227,5.7465,6.3299,7.2126,9.6228,1.122562626,0.166795933,0.664764928,0.970311427,Stable
483,ATP1B3,ATPase Na+/K+ transporting subunit beta 3,17.1257,19.1291,8.5689,14.8288,15.7792,15.0974,0.980709063,-0.028102885,0.936087155,0.998814086,Stable
487,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,3.0721,3.8408,2.4942,2.6182,4.4466,3.2506,0.911947186,-0.13297782,0.673716036,0.973070708,Stable
488,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,13.382,12.0515,10.9274,12.1086,11.3228,11.2735,1.047716605,0.067248537,0.527747042,0.945940853,Stable
489,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,0.9052,0.8487,0.6734,0.672,0.7093,0.7969,1.114360481,0.156216001,0.369403648,0.938881762,Stable
490,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,0.2393,0.114,0.8108,0.0453,0.0324,0.17,4.699636657,2.232549222,0.288661622,0.938881762,Stable
491,ATP2B2,ATPase plasma membrane Ca2+ transporting 2,0.1173,0.00012,0.0316,0.0407,0.0292,0.0519,1.223481117,0.290991835,0.821350165,0.995095472,Stable
492,ATP2B3,ATPase plasma membrane Ca2+ transporting 3,0.1268,0.00012,0.0341,0.044,0.0315,0.0561,1.223556231,0.291080405,0.82141813,0.995095472,Stable
493,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,1.1083,0.6736,1.573,0.7176,1.3986,1.4047,0.952852964,-0.069674488,0.880674488,0.998814086,Stable
495,ATP4A,ATPase H+/K+ transporting subunit alpha,0.936,0.9633,0.6421,1.0582,0.7582,0.6774,1.019087337,0.027277697,0.923404142,0.998814086,Stable
