,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation
475,AFF1-AS1,136.5489522,-0.246573841,0.228515828,-1.079023032,0.280577461,0.438270119,Not Significant
476,AFF2,21.14607532,0.009369188,0.57573988,0.016273301,0.987016358,0.993070862,Not Significant
477,AFF3,148.8541641,2.981991365,0.268712825,11.09731685,1.29E-28,1.68E-27,Up
478,AFF4,6919.718132,0.495739609,0.047827215,10.36522015,3.57E-25,4.14E-24,Not Significant
479,AFG1L,170.5043853,-0.565549564,0.20671822,-2.735847679,0.006221982,0.016618963,Not Significant
480,AFG3L1P,383.8416408,-0.01727739,0.142333859,-0.121386369,0.903385013,0.95022123,Not Significant
481,AFG3L2,3550.897745,-0.083152782,0.052379475,-1.587506999,0.112397863,0.210493586,Not Significant
482,AFM,0,NA,NA,NA,NA,NA,Not Significant
483,AFMID,1406.632207,-0.382324648,0.075151083,-5.087413718,3.63E-07,1.72E-06,Not Significant
484,AFP,2.529378022,-0.255698919,1.672468578,-0.152887129,0.878487286,NA,Not Significant
485,AFTPH,1558.137713,0.272023636,0.076997466,3.532890743,0.000411042,0.001366616,Not Significant
486,AFTPH-DT,22.50618771,-0.02670971,0.573983002,-0.046533973,0.962884657,0.979220332,Not Significant
487,AGA,595.9061914,-0.125841956,0.112062841,-1.122958819,0.261454985,0.415072163,Not Significant
488,AGA-DT,2.840844271,-1.318253211,1.609495163,-0.819047638,0.412759235,NA,Not Significant
489,AGAP1,1292.694418,0.515624343,0.078821208,6.541695485,6.08E-11,3.89E-10,Not Significant
490,AGAP1-IT1,5.358754068,-0.228447107,1.144934054,-0.199528616,0.841849261,0.912874245,Not Significant
491,AGAP10P,20.25118674,-0.3854,0.587345491,-0.65617257,0.511713096,0.673338636,Not Significant
492,AGAP11,75.85344014,-0.382056898,0.309245498,-1.235448536,0.216663619,0.358942616,Not Significant
493,AGAP12P,22.83728539,-0.118573565,0.552288486,-0.214694979,0.830005137,0.905652147,Not Significant
494,AGAP2,614.839875,0.192496595,0.109984583,1.750214335,0.080081336,0.158051742,Not Significant
495,AGAP2-AS1,648.1887582,0.223207675,0.107006296,2.0859303,0.036984937,0.081360825,Not Significant
496,AGAP3,4910.744366,-0.214105242,0.045838192,-4.67089191,3.00E-06,1.30E-05,Not Significant
497,AGAP4,72.42085712,-0.299371338,0.313300339,-0.95554106,0.339304151,0.504650065,Not Significant
498,AGAP5,33.52743003,-0.208121144,0.458103202,-0.454310607,0.649605283,0.784001053,Not Significant
499,AGAP6,128.3210702,0.219498236,0.234974239,0.934137447,0.350232997,0.516507441,Not Significant
500,AGAP7P,68.61468765,-0.215652164,0.320917151,-0.671987032,0.501591952,0.664096341,Not Significant
501,AGAP9,35.92043034,-0.367685169,0.441592729,-0.83263411,0.405051115,0.572343626,Not Significant
502,AGBL1,0.502607091,2.622023022,4.024239976,0.651557322,0.514686787,NA,Not Significant
503,AGBL1-AS1,0,NA,NA,NA,NA,NA,Not Significant
504,AGBL2,1.672910004,-1.017848149,2.040186254,-0.498899621,0.617850101,NA,Not Significant
