,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation
3604,CHRDL2,1.636446931,-1.115726667,2.151625614,-0.51855056,0.604074193,NA,Not Significant
3605,CHRFAM7A,44.98175922,-0.371811122,0.3994024,-0.930918598,0.351895673,0.51835175,Not Significant
3606,CHRM1,0,NA,NA,NA,NA,NA,Not Significant
3607,CHRM2,0,NA,NA,NA,NA,NA,Not Significant
3608,CHRM3,0,NA,NA,NA,NA,NA,Not Significant
3609,CHRM3-AS1,0,NA,NA,NA,NA,NA,Not Significant
3610,CHRM3-AS2,0,NA,NA,NA,NA,NA,Not Significant
3611,CHRM4,169.7676473,0.405525794,0.204227609,1.98565608,0.047071525,0.100253475,Not Significant
3612,CHRM5,1.471632301,-0.722355648,2.166757133,-0.333380995,0.738846708,NA,Not Significant
3613,CHRNA1,25.19627983,1.443417456,0.546557576,2.640924799,0.008268007,0.021502516,Up
3614,CHRNA10,29.36988916,0.409234716,0.487534793,0.83939592,0.401247173,0.568202616,Not Significant
3615,CHRNA2,0,NA,NA,NA,NA,NA,Not Significant
3616,CHRNA3,25.84965524,-0.712298153,0.540798517,-1.317122978,0.187797406,0.320086853,Not Significant
3617,CHRNA4,0,NA,NA,NA,NA,NA,Not Significant
3618,CHRNA5,304.257208,-0.256086723,0.154437966,-1.658185032,0.097280125,0.186343289,Not Significant
3619,CHRNA6,0,NA,NA,NA,NA,NA,Not Significant
3620,CHRNA7,42.58458598,-0.826924568,0.412464863,-2.00483639,0.044980541,0.096420455,Not Significant
3621,CHRNA9,0,NA,NA,NA,NA,NA,Not Significant
3622,CHRNB1,825.9607227,1.270310299,0.09831386,12.92096856,3.43E-38,5.76E-37,Up
3623,CHRNB2,5154.268437,1.288856573,0.047298757,27.24926923,1.70E-163,1.18E-161,Up
3624,CHRNB3,0.699421603,-2.77653945,3.5253085,-0.787601837,0.43092964,NA,Not Significant
3625,CHRNB4,1.091840148,1.900891091,2.688996077,0.706914788,0.479619434,NA,Not Significant
3626,CHRND,0,NA,NA,NA,NA,NA,Not Significant
3627,CHRNE,180.0241437,0.38905999,0.201274303,1.932983913,0.05323818,0.11143809,Not Significant
3628,CHRNG,3.139005686,0.832788143,1.507390759,0.55246998,0.580626396,NA,Not Significant
3629,CHROMR,432.4447868,-0.245874693,0.132438953,-1.856513426,0.063380411,0.129603725,Not Significant
3630,CHST1,3283.605637,-1.332936113,0.058255537,-22.88084863,7.21E-116,3.28E-114,Down
3631,CHST10,768.2085436,-0.360856081,0.099509322,-3.626354522,0.000287451,0.000976525,Not Significant
3632,CHST11,1182.38695,-0.083924428,0.080980066,-1.03635909,0.300034648,0.460622762,Not Significant
3633,CHST12,1355.057992,-0.689447902,0.082394901,-8.367603976,5.88E-17,5.06E-16,Not Significant
3634,CHST13,0.911094102,3.440114687,3.202844833,1.074080971,0.282786393,NA,Not Significant
3635,CHST14,2878.415094,-0.21138133,0.055838837,-3.78556109,0.000153362,0.000542693,Not Significant
3636,CHST15,1716.709611,-2.071456412,0.075324864,-27.50030059,1.74E-166,1.23E-164,Down
3637,CHST2,634.1101876,-0.519126776,0.112550238,-4.612400536,3.98E-06,1.71E-05,Not Significant
3638,CHST3,1020.485195,0.038558215,0.086407378,0.446237535,0.655425673,0.788634117,Not Significant
3639,CHST4,0.735747625,1.165414326,3.282176669,0.355073612,0.722534445,NA,Not Significant
3640,CHST5,13.05415048,2.232855678,0.847759794,2.63383059,0.00844276,0.021914706,Up
3641,CHST6,189.8822153,3.733349892,0.257202713,14.51520416,9.71E-48,1.98E-46,Up
3642,CHST7,819.509085,-0.619773518,0.096574167,-6.417591163,1.38E-10,8.65E-10,Not Significant
3643,CHST8,2.334932156,0.718571151,1.872857325,0.383676397,0.701218309,NA,Not Significant
3644,CHST9,0,NA,NA,NA,NA,NA,Not Significant
3645,CHSY1,3867.759447,-0.076621567,0.052933109,-1.447516844,0.147752222,0.263412961,Not Significant
3646,CHSY3,311.9509626,0.923401443,0.155443338,5.940437567,2.84E-09,1.62E-08,Not Significant
3647,CHTF18,1036.011052,-0.076695569,0.087669147,-0.874829656,0.381666598,0.549213345,Not Significant
3648,CHTF8,3386.659875,0.137033442,0.052264117,2.621941185,0.008743052,0.022619485,Not Significant
3649,CHTOP,2978.593904,0.148784082,0.057187632,2.60168284,0.00927676,0.023885632,Not Significant
3650,CHUK,1423.09943,0.136517583,0.07570809,1.803209985,0.071355243,0.143150529,Not Significant
3651,CHURC1,1766.39157,-0.057699699,0.068070204,-0.84764987,0.396632992,0.563317373,Not Significant
3652,CHURC1-FNTB,1095.4007,0.026122321,0.08395289,0.31115452,0.755683155,0.857593464,Not Significant
3653,CIAO1,4140.821297,-0.194198233,0.050042603,-3.880658079,0.000104174,0.000378793,Not Significant
3654,CIAO2A,1756.794793,0.023965222,0.070655335,0.339184895,0.734470448,0.843661781,Not Significant
3655,CIAO2B,1742.762286,0.21865719,0.072453526,3.017895777,0.002545364,0.007368201,Not Significant
3656,CIAO3,1092.585945,0.143774017,0.084650796,1.69843668,0.089425374,0.17348118,Not Significant
3657,CIAPIN1,3615.503689,0.277794848,0.051646413,5.378782962,7.50E-08,3.78E-07,Not Significant
3658,CIART,48.50704622,-0.913920423,0.397396324,-2.299770701,0.021461214,0.050408339,Not Significant
3659,CIB1,2664.6555,0.164245499,0.057690353,2.847018417,0.004413081,0.012155622,Not Significant
3660,CIB2,97.13905179,-0.097151778,0.275268446,-0.352934669,0.724137419,0.837389305,Not Significant
3661,CIB3,0,NA,NA,NA,NA,NA,Not Significant
3662,CIB4,0,NA,NA,NA,NA,NA,Not Significant
3663,CIBAR1,809.4609036,-0.182190323,0.097164318,-1.875074377,0.060782492,0.124928547,Not Significant
3664,CIBAR1-DT,4.526380667,0.320596489,1.238212954,0.2589187,0.795697969,0.883783001,Not Significant
3665,CIBAR1P2,0,NA,NA,NA,NA,NA,Not Significant
3666,CIBAR2,3.39138266,-1.580446657,1.567913463,-1.007993549,0.313457559,0.47546565,Not Significant
3667,CIC,5271.411209,-0.187237239,0.049954131,-3.748183314,0.00017812,0.000624214,Not Significant
3668,CICP24,0.303698034,1.83787574,4.981553375,0.368936274,0.712175225,NA,Not Significant
3669,CIDEA,25.93219684,0.027494064,0.522476448,0.052622591,0.958032617,0.976931277,Not Significant
3670,CIDEB,938.6255776,-0.058827604,0.090334695,-0.651218274,0.514905595,0.676501551,Not Significant
3671,CIDEC,0.217209119,-1.131968038,4.994897891,-0.226624861,0.820715459,NA,Not Significant
3672,CIDECP1,166.4880424,0.085639506,0.211646197,0.404635224,0.685745663,0.812065454,Not Significant
3673,CIITA,613.9997345,0.630833049,0.110460309,5.710947735,1.12E-08,6.06E-08,Not Significant
3674,CILK1,1290.371731,0.077297688,0.082153532,0.940893053,0.346759668,0.512740375,Not Significant
3675,CILP,0,NA,NA,NA,NA,NA,Not Significant
3676,CILP2,1.759261868,1.557777952,2.041482042,0.763062285,0.445426251,NA,Not Significant
3677,CINP,1299.663119,0.008234576,0.078899892,0.10436739,0.9168778,0.957686578,Not Significant
3678,CIP2A,1563.39804,0.187159788,0.071613658,2.613465001,0.008962926,0.023143902,Not Significant
3679,CIPC,1152.181501,0.204305074,0.083872947,2.435887615,0.014855299,0.03634463,Not Significant
3680,CIR1,1766.32403,0.383983229,0.067974479,5.648932272,1.61E-08,8.59E-08,Not Significant
3681,CIRBP,6605.11832,-0.291123329,0.043074025,-6.758674914,1.39E-11,9.24E-11,Not Significant
3682,CIRBP-AS1,40.25248603,0.083842029,0.41749209,0.200823037,0.840836949,0.912301028,Not Significant
3683,CIROP,9.289206892,-0.480422231,0.866908226,-0.554178881,0.57945643,0.731365571,Not Significant
3684,CISD1,2134.035343,0.952963663,0.063428646,15.02418432,5.10E-51,1.09E-49,Not Significant
3685,CISD2,867.5972885,-0.21579424,0.095732173,-2.254145428,0.024187021,0.055960847,Not Significant
3686,CISD3,1962.884658,-0.223963071,0.065605756,-3.413771674,0.000640702,0.00206434,Not Significant
3687,CISH,47.8489782,-1.385835242,0.400605883,-3.4593482,0.000541484,0.001765478,Down
3688,CISTR,0,NA,NA,NA,NA,NA,Not Significant
3689,CIT,2451.639756,-0.197289305,0.064443897,-3.061411759,0.002202959,0.006441257,Not Significant
3690,CITED1,1.94237656,0.267784766,1.877210832,0.142650341,0.886566337,NA,Not Significant
3691,CITED2,3504.033666,-0.848109649,0.055658362,-15.23777597,1.99E-52,4.35E-51,Not Significant
3692,CITED4,9459.9892,3.66939063,0.086815732,42.2664252,0,0,Up
3693,CIZ1,5452.990934,-0.079295203,0.04536674,-1.74787088,0.080486388,0.158722228,Not Significant
3694,CKAP2,4513.74494,-0.333659987,0.047498204,-7.024686451,2.15E-12,1.49E-11,Not Significant
3695,CKAP2L,1505.196923,0.388123531,0.073446353,5.28444935,1.26E-07,6.22E-07,Not Significant
3696,CKAP4,22607.49185,0.349843511,0.033285021,10.51053911,7.73E-26,9.18E-25,Not Significant
3697,CKAP5,8344.993991,-0.132834385,0.043759386,-3.035563293,0.002400868,0.006984209,Not Significant
3698,CKB,39.04113597,-0.240031477,0.422815799,-0.567697513,0.570240381,0.723199877,Not Significant
3699,CKLF,556.6319091,-0.286708454,0.117284075,-2.444564215,0.014502726,0.0355558,Not Significant
3700,CKLF-CMTM1,494.2121137,-0.285218412,0.12263921,-2.325670653,0.020036127,0.04737364,Not Significant
3701,CKM,3.411640215,0.211085413,1.472944349,0.143308478,0.88604656,0.940212952,Not Significant
3702,CKMT1A,0.233140534,-1.183509241,4.991306719,-0.237114108,0.812568268,NA,Not Significant
3703,CKMT1B,0.233140534,-1.183509241,4.991306719,-0.237114108,0.812568268,NA,Not Significant
3704,CKMT2,197.7510834,-0.239766774,0.191814333,-1.249994044,0.211301723,0.351790427,Not Significant
3705,CKMT2-AS1,116.5502956,-0.444478501,0.24940766,-1.782136524,0.074726971,0.148822935,Not Significant
3706,CKS1B,1671.854728,-0.018118857,0.07958484,-0.227667197,0.819904976,0.898998514,Not Significant
3707,CKS2,3022.434534,0.183228035,0.057456226,3.189002291,0.001427647,0.004322345,Not Significant
3708,CLASP1,3278.666217,0.148630901,0.053820416,2.761608187,0.005751746,0.015454847,Not Significant
3709,CLASP1-AS1,10.15553767,-0.295081901,0.839549904,-0.351476308,0.725231043,0.838023654,Not Significant
3710,CLASP2,2162.815771,-0.190143591,0.062969687,-3.019605153,0.002531044,0.007330121,Not Significant
3711,CLASRP,1155.746593,-0.329622605,0.083343403,-3.954993367,7.65E-05,0.000283101,Not Significant
3712,CLBA1,233.2564272,-0.383799778,0.177706639,-2.159737979,0.030792959,0.069307116,Not Significant
3713,CLC,0,NA,NA,NA,NA,NA,Not Significant
3714,CLCA1,0,NA,NA,NA,NA,NA,Not Significant
3715,CLCA2,9.922397134,-0.234765886,0.848538445,-0.276670888,0.782032827,0.875376079,Not Significant
3716,CLCA3P,1.136071436,-1.711686511,2.625201605,-0.652020975,0.514387641,NA,Not Significant
3717,CLCA4,0,NA,NA,NA,NA,NA,Not Significant
3718,CLCA4-AS1,79.02379279,-0.598003138,0.303741047,-1.96879264,0.048976908,0.10381938,Not Significant
3719,CLCC1,1352.206307,-0.026597739,0.077734071,-0.342163201,0.732228077,0.842055012,Not Significant
3720,CLCF1,182.3822357,-0.714885851,0.207441578,-3.446203302,0.000568522,0.001847869,Not Significant
3721,CLCN1,3.031985113,0.286267407,1.501184656,0.190694334,0.848765078,NA,Not Significant
3722,CLCN2,147.7522643,-0.627189474,0.224583654,-2.792676413,0.005227395,0.014177983,Not Significant
3723,CLCN3,4288.938592,-0.078319455,0.051897275,-1.509124622,0.131266938,0.239044937,Not Significant
3724,CLCN4,946.2825686,-0.373662437,0.092561546,-4.036907924,5.42E-05,0.000203444,Not Significant
3725,CLCN5,807.309423,0.077823953,0.097581884,0.797524597,0.425146423,0.591483745,Not Significant
3726,CLCN6,785.5803401,-0.086354548,0.099937454,-0.864085931,0.387540687,0.555171297,Not Significant
3727,CLCN7,3678.745641,-0.227207758,0.053168984,-4.273313913,1.93E-05,7.65E-05,Not Significant
3728,CLCNKA,0,NA,NA,NA,NA,NA,Not Significant
3729,CLCNKB,1.974376443,-1.225185241,2.010265124,-0.609464506,0.542216592,NA,Not Significant
3730,CLDN1,492.0935898,3.793103238,0.164278204,23.08951008,5.90E-118,2.73E-116,Up
3731,CLDN10,29.34610098,-1.000194009,0.511075322,-1.957038359,0.050342959,0.106285213,Not Significant
3732,CLDN10-AS1,4.945940917,-1.794734561,1.269115689,-1.414161512,0.157314486,0.27711789,Not Significant
3733,CLDN11,173.0733298,0.179350248,0.209332976,0.856770161,0.391571919,0.558863765,Not Significant
3734,CLDN12,436.7907796,0.544247346,0.134351303,4.050927194,5.10E-05,0.000192395,Not Significant
3735,CLDN14,512.4253907,2.261382223,0.131021275,17.25965668,9.47E-67,2.49E-65,Up
3736,CLDN14-AS1,1586.114838,-0.420211024,0.073287083,-5.733766537,9.82E-09,5.33E-08,Not Significant
3737,CLDN15,238.2073742,0.62239119,0.181525881,3.428663647,0.000606561,0.001960697,Not Significant
3738,CLDN16,2.113122796,1.023346276,1.921878318,0.53247194,0.594399171,NA,Not Significant
3739,CLDN17,0,NA,NA,NA,NA,NA,Not Significant
3740,CLDN18,2.282537668,0.677146394,1.848143761,0.366392706,0.714072062,NA,Not Significant
3741,CLDN19,0,NA,NA,NA,NA,NA,Not Significant
3742,CLDN2,6.713091884,0.561327493,1.04799993,0.535617873,0.592222674,0.742758403,Not Significant
3743,CLDN20,3.198894287,1.400098718,1.579186417,0.88659496,0.375297008,NA,Not Significant
3744,CLDN22,85.14508807,0.293758774,0.286958888,1.023696374,0.305978708,0.467201284,Not Significant
3745,CLDN23,32.81637082,0.995306294,0.481021221,2.069152568,0.038531772,0.084252807,Not Significant
3746,CLDN24,1.75939892,-0.08792089,1.950185888,-0.045083338,0.964040882,NA,Not Significant
3747,CLDN25,0,NA,NA,NA,NA,NA,Not Significant
3748,CLDN3,6.082012353,-1.786580442,1.144245962,-1.561360495,0.118438717,0.219713078,Not Significant
3749,CLDN34,0.738116271,-0.597403679,3.269997822,-0.182692378,0.855039396,NA,Not Significant
3750,CLDN4,2.911401771,-0.703213022,1.539261956,-0.456850778,0.647778305,NA,Not Significant
3751,CLDN5,26576.03009,-0.158652978,0.032450861,-4.889022117,1.01E-06,4.62E-06,Not Significant
3752,CLDN6,2.529378022,-0.255698919,1.672468578,-0.152887129,0.878487286,NA,Not Significant
3753,CLDN7,511.7754322,-0.599488193,0.12344647,-4.856260312,1.20E-06,5.42E-06,Not Significant
3754,CLDN8,0,NA,NA,NA,NA,NA,Not Significant
3755,CLDN9,0.233140534,-1.183509241,4.991306719,-0.237114108,0.812568268,NA,Not Significant
3756,CLDND1,2524.549659,0.320842984,0.060527246,5.30080259,1.15E-07,5.70E-07,Not Significant
3757,CLDND2,7.547970983,-0.378362652,0.957032371,-0.3953499,0.692584678,0.816577373,Not Significant
3758,CLEC10A,41.14403335,-1.188838696,0.434150238,-2.738311749,0.00617555,0.016513646,Down
3759,CLEC11A,2864.779754,-0.209526631,0.056634032,-3.69965945,0.000215889,0.000745906,Not Significant
3760,CLEC12A,0,NA,NA,NA,NA,NA,Not Significant
3761,CLEC12A-AS1,0,NA,NA,NA,NA,NA,Not Significant
3762,CLEC12B,41.83662312,-1.27166973,0.431694851,-2.945760709,0.003221615,0.009122833,Down
3763,CLEC14A,18467.72019,-1.268964675,0.032882127,-38.59131914,0,0,Down
3764,CLEC16A,1564.175701,0.190007518,0.077079346,2.465089907,0.013697888,0.033797796,Not Significant
3765,CLEC17A,0.840536603,1.378898981,3.139402004,0.43922345,0.660499635,NA,Not Significant
3766,CLEC18A,12.53603248,-0.234995334,0.74838673,-0.31400254,0.753519109,0.856366616,Not Significant
3767,CLEC18B,2.123259657,-1.506106619,1.872861528,-0.804174039,0.42129647,NA,Not Significant
3768,CLEC18C,1.777561931,0.724441429,1.944209317,0.372614935,0.709435056,NA,Not Significant
3769,CLEC19A,0,NA,NA,NA,NA,NA,Not Significant
3770,CLEC1A,2236.696919,1.040203067,0.063318116,16.42820614,1.20E-60,2.92E-59,Up
3771,CLEC1B,0.717584614,-0.777625113,3.301464403,-0.235539451,0.813790063,NA,Not Significant
3772,CLEC2A,0,NA,NA,NA,NA,NA,Not Significant
3773,CLEC2B,661.369412,-0.169171884,0.111051249,-1.523367685,0.127666742,0.233593492,Not Significant
3774,CLEC2D,860.2041119,3.713758575,0.123159454,30.15406814,9.49E-200,8.29E-198,Up
3775,CLEC2L,0,NA,NA,NA,NA,NA,Not Significant
3776,CLEC3A,0,NA,NA,NA,NA,NA,Not Significant
3777,CLEC3B,12.95898249,-0.098262099,0.73680204,-0.133362957,0.89390634,0.944992426,Not Significant
3778,CLEC4A,9.301833284,0.236281623,0.866994426,0.272529576,0.785214853,0.877639586,Not Significant
3779,CLEC4C,0,NA,NA,NA,NA,NA,Not Significant
3780,CLEC4D,0,NA,NA,NA,NA,NA,Not Significant
3781,CLEC4E,3.633707511,5.451820328,1.933009083,2.820380088,0.00479668,0.013114585,Up
3782,CLEC4F,1.167934267,-1.752635607,2.606328023,-0.672453963,0.501294739,NA,Not Significant
3783,CLEC4G,0.233140534,-1.183509241,4.991306719,-0.237114108,0.812568268,NA,Not Significant
3784,CLEC4GP1,82.06875614,-2.530379654,0.344317582,-7.348970208,2.00E-13,1.47E-12,Down
3785,CLEC4M,7.043116131,1.506986623,1.086079102,1.387547758,0.165274799,0.288420728,Not Significant
3786,CLEC4OP,0,NA,NA,NA,NA,NA,Not Significant
3787,CLEC5A,0,NA,NA,NA,NA,NA,Not Significant
3788,CLEC6A,0,NA,NA,NA,NA,NA,Not Significant
3789,CLEC7A,3.643844372,1.652038225,1.515132505,1.090358909,0.275555075,0.43211213,Not Significant
3790,CLEC9A,26.70318089,1.09593404,0.524478985,2.089567117,0.036656703,0.080742315,Not Significant
3791,CLECL1P,0.251303545,1.699763444,4.990618013,0.340591774,0.733410923,NA,Not Significant
3792,CLGN,8.387571208,0.43363404,0.958455218,0.452430151,0.65095913,0.784957157,Not Significant
3793,CLHC1,91.06882045,-0.358396759,0.298774414,-1.199556394,0.23031167,0.375650121,Not Significant
3794,CLIC1,21125.82439,0.326085436,0.035914103,9.079592837,1.09E-19,1.05E-18,Not Significant
3795,CLIC2,5.571757932,1.022044714,1.181664491,0.864919545,0.387082949,0.554807132,Not Significant
3796,CLIC3,34.32927196,-0.21956093,0.45408404,-0.483524877,0.6287231,0.768708871,Not Significant
3797,CLIC4,46784.57677,0.762418082,0.030622841,24.89703964,8.01E-137,4.51E-135,Not Significant
3798,CLIC5,0,NA,NA,NA,NA,NA,Not Significant
3799,CLIC6,0.911094102,3.440114687,3.202844833,1.074080971,0.282786393,NA,Not Significant
3800,CLINT1,5730.850676,0.481484653,0.044942953,10.71324028,8.82E-27,1.08E-25,Not Significant
3801,CLIP1,5855.973567,0.500822583,0.044911049,11.15143362,7.05E-29,9.23E-28,Not Significant
3802,CLIP1-AS1,0.520907153,0.386596123,3.793334225,0.101914596,0.918824465,NA,Not Significant
3803,CLIP2,5736.756374,1.961422641,0.050198715,39.07316463,0,0,Up
3804,CLIP3,2763.929843,-0.192353996,0.056824003,-3.385083527,0.000711566,0.002269026,Not Significant
3805,CLIP4,1773.942838,0.353327625,0.068208575,5.180105695,2.22E-07,1.07E-06,Not Significant
3806,CLK1,2025.232374,-0.067614133,0.066926616,-1.010272698,0.312364658,0.474189103,Not Significant
3807,CLK2,1399.814938,0.212010302,0.075579875,2.805115815,0.00502985,0.013686648,Not Significant
3808,CLK2P1,6.710060963,0.768790646,1.028495828,0.747490291,0.454767661,0.621104323,Not Significant
3809,CLK3,1706.846395,0.309301596,0.069503945,4.450130042,8.58E-06,3.54E-05,Not Significant
3810,CLK4,633.5247783,0.468316504,0.108875408,4.301398365,1.70E-05,6.78E-05,Not Significant
3811,CLLU1,0,NA,NA,NA,NA,NA,Not Significant
3812,CLLU1-AS1,0,NA,NA,NA,NA,NA,Not Significant
3813,CLMAT3,2729.903349,-0.112444055,0.061892239,-1.816771478,0.069252112,0.139610118,Not Significant
3814,CLMN,474.4867772,-0.930889383,0.126362461,-7.366819048,1.75E-13,1.29E-12,Not Significant
3815,CLMP,80.77811174,-0.919799106,0.301857969,-3.047125476,0.002310412,0.006734568,Not Significant
3816,CLN3,1340.705991,-0.263431748,0.076679971,-3.435470097,0.000591527,0.001916509,Not Significant
3817,CLN5,2166.605654,0.403626852,0.062828906,6.424222154,1.33E-10,8.29E-10,Not Significant
3818,CLN6,2499.378773,0.093095249,0.059034694,1.576958269,0.114805128,0.214184842,Not Significant
3819,CLN8,1400.343665,-0.173478463,0.076710627,-2.261465837,0.023730426,0.055039419,Not Significant
3820,CLN8-AS1,336.9835111,-0.534752259,0.161351928,-3.314198138,0.000919064,0.002877201,Not Significant
3821,CLNK,0.251303545,1.699763444,4.990618013,0.340591774,0.733410923,NA,Not Significant
3822,CLNS1A,3952.067336,0.019587649,0.053343888,0.367195742,0.713473015,0.830287719,Not Significant
3823,CLOCK,2464.225901,0.648573973,0.061190925,10.5991857,3.01E-26,3.62E-25,Not Significant
3824,CLP1,924.7398187,0.176913503,0.094332668,1.875421393,0.060734774,0.124871278,Not Significant
3825,CLPB,1653.84607,0.06290489,0.070034261,0.898201673,0.369078042,0.535955197,Not Significant
3826,CLPP,3153.061653,-0.050897696,0.053901355,-0.944274897,0.34502919,0.51094975,Not Significant
3827,CLPS,0,NA,NA,NA,NA,NA,Not Significant
3828,CLPSL1,0,NA,NA,NA,NA,NA,Not Significant
3829,CLPSL2,0,NA,NA,NA,NA,NA,Not Significant
3830,CLPTM1,5261.734436,0.074004656,0.045139232,1.639475298,0.101114311,0.192651199,Not Significant
3831,CLPTM1L,5811.600459,0.082875939,0.043915062,1.887187126,0.059135161,0.122047935,Not Significant
3832,CLPX,2238.678647,-0.080644026,0.061547165,-1.310280107,0.190101095,0.323050298,Not Significant
3833,CLRN1,0,NA,NA,NA,NA,NA,Not Significant
3834,CLRN1-AS1,0,NA,NA,NA,NA,NA,Not Significant
3835,CLRN2,0,NA,NA,NA,NA,NA,Not Significant
3836,CLRN3,1.777561931,0.724441429,1.944209317,0.372614935,0.709435056,NA,Not Significant
3837,CLSPN,1931.061095,-0.368213189,0.066616181,-5.527383625,3.25E-08,1.68E-07,Not Significant
3838,CLSTN1,18121.82811,-0.150890976,0.035031396,-4.307306965,1.65E-05,6.62E-05,Not Significant
3839,CLSTN2,3.1467739,-0.388881575,1.473544702,-0.263908909,0.79185011,NA,Not Significant
3840,CLSTN2-AS1,0,NA,NA,NA,NA,NA,Not Significant
3841,CLSTN3,4248.595176,-0.055116811,0.048695672,-1.13186261,0.2576922,0.410688101,Not Significant
3842,CLTA,11782.58394,0.1156534,0.036115522,3.202318335,0.001363263,0.004146041,Not Significant
3843,CLTB,4434.958838,0.208357,0.050040421,4.163773961,3.13E-05,0.000121204,Not Significant
3844,CLTC,33032.62907,0.152873075,0.034149265,4.476613887,7.58E-06,3.15E-05,Not Significant
3845,CLTCL1,282.1068482,-0.069158842,0.164176861,-0.421245974,0.673575476,0.802295889,Not Significant
3846,CLTRN,14.64216641,-0.736551367,0.707983923,-1.040350414,0.29817713,0.45825577,Not Significant
3847,CLU,13730.5286,-0.319201051,0.036026001,-8.860296507,7.98E-19,7.46E-18,Not Significant
3848,CLUAP1,668.9984267,-0.40377766,0.106848899,-3.778959479,0.000157485,0.000556447,Not Significant
3849,CLUH,5468.500135,0.077335677,0.046104398,1.677403477,0.09346361,0.180148268,Not Significant
3850,CLUHP3,11.87528938,1.472231562,0.78997453,1.863644341,0.062371666,0.127759548,Not Significant
3851,CLUL1,13.15593405,-0.576429768,0.734295807,-0.785010295,0.432447532,0.598944435,Not Significant
3852,CLVS1,575.0080081,-0.045381052,0.113006509,-0.401579098,0.687993815,0.81355398,Not Significant
3853,CLVS2,0,NA,NA,NA,NA,NA,Not Significant
3854,CLXN,1.023514243,1.859624386,2.738784306,0.678996291,0.497140212,NA,Not Significant
3855,CLYBL,18.6085341,-0.15386934,0.640994325,-0.240047897,0.810293125,0.892088382,Not Significant
3856,CLYBL-AS1,0,NA,NA,NA,NA,NA,Not Significant
3857,CLYBL-AS2,0,NA,NA,NA,NA,NA,Not Significant
3858,CLYBL-AS3,1.636446931,-1.115726667,2.151625614,-0.51855056,0.604074193,NA,Not Significant
3859,CMA1,0.434418237,-2.102080181,4.263371323,-0.493055852,0.621973124,NA,Not Significant
3860,CMAHP,77.46513953,-0.67882859,0.311810095,-2.177057773,0.029476257,0.066637673,Not Significant
3861,CMAS,2394.980718,0.496619034,0.061212691,8.113007701,4.94E-16,4.11E-15,Not Significant
3862,CMBL,1841.750473,-0.862625133,0.068151709,-12.65742482,1.02E-36,1.64E-35,Not Significant
3863,CMC1,1139.80674,0.052039772,0.08213693,0.633573384,0.526359275,0.686293056,Not Significant
3864,CMC2,1100.645722,0.139254483,0.088351721,1.576137753,0.11499406,0.214461592,Not Significant
3865,CMC4,349.1302054,-0.12673003,0.145404116,-0.871571129,0.383442387,0.551012258,Not Significant
3866,CMIP,9022.493535,0.231831106,0.037706461,6.148312462,7.83E-10,4.64E-09,Not Significant
3867,CMKLR1,7.762827622,-3.086572648,1.186178021,-2.602115867,0.009265054,0.023858748,Down
3868,CMKLR2,0.683490187,-2.746810951,3.276056774,-0.838450351,0.401777821,NA,Not Significant
3869,CMKLR2-AS,0,NA,NA,NA,NA,NA,Not Significant
3870,CMPK1,6449.465046,0.199767408,0.043875796,4.55302066,5.29E-06,2.23E-05,Not Significant
3871,CMPK2,501.4210208,5.662226604,0.859698394,6.58629427,4.51E-11,2.90E-10,Up
3872,CMSS1,1335.934044,0.01405171,0.078920596,0.178048712,0.85868472,0.922856192,Not Significant
3873,CMTM1,69.89638277,-0.474909452,0.332580936,-1.427951517,0.153305814,0.271628707,Not Significant
3874,CMTM2,1.638815577,-2.239427924,2.318878941,-0.965737316,0.334175642,NA,Not Significant
3875,CMTM3,4091.252972,0.176230267,0.050383816,3.497755461,0.000469191,0.001545513,Not Significant
3876,CMTM4,474.4374307,0.286549111,0.126485536,2.265469403,0.02348389,0.054541362,Not Significant
3877,CMTM5,0,NA,NA,NA,NA,NA,Not Significant
3878,CMTM6,7453.315485,0.309228962,0.039807045,7.768196813,7.96E-15,6.25E-14,Not Significant
3879,CMTM7,1421.175005,-0.668573413,0.075665831,-8.835869572,9.93E-19,9.26E-18,Not Significant
3880,CMTM8,343.9253224,-1.270694448,0.150466297,-8.445043641,3.04E-17,2.66E-16,Down
3881,CMTR1,3113.284117,0.487976256,0.054370315,8.975049286,2.83E-19,2.69E-18,Not Significant
3882,CMTR2,1179.492311,-0.327360345,0.082515285,-3.967269175,7.27E-05,0.00026997,Not Significant
3883,CMYA5,1.972007797,-0.509981418,2.020920311,-0.252351077,0.800769711,NA,Not Significant
3884,CNBD1,0,NA,NA,NA,NA,NA,Not Significant
3885,CNBD2,30.49571902,-0.437176032,0.479978119,-0.910824921,0.362387629,0.529015844,Not Significant
3886,CNBP,13359.15451,-0.075562054,0.038242386,-1.97587187,0.048169291,0.102268277,Not Significant
3887,CNDP1,0,NA,NA,NA,NA,NA,Not Significant
3888,CNDP2,8678.71719,0.984994526,0.039367348,25.02059662,3.65E-138,2.09E-136,Not Significant
3889,CNEP1R1,792.2759512,0.428204763,0.099871315,4.287565091,1.81E-05,7.20E-05,Not Significant
3890,CNFN,8.547664712,-1.269860823,0.944516604,-1.344455797,0.178801041,0.307523268,Not Significant
3891,CNGA1,2.312168904,-7.80E-05,1.76806164,-4.41E-05,0.99996482,NA,Not Significant
3892,CNGA2,0,NA,NA,NA,NA,NA,Not Significant
